genus1,genus2,locus1,locus2,overlap_count,overlap
Callocleonymus,Zolotarewskya,L768,L768,1,G
Callocleonymus,Zolotarewskya,L855,L855,1,H
Agamerion,Calosota,L1008,L1008,1,G
Amerostenus,Calosota,L403,L403,1,G
Bruchodape,Calosota,L688,L782,1,G
Calosota,Enoggera,L920,L920,1,G
Calosota,Erotolepsia,L534,L534,1,G
Calosota,Grooca,L502,L502,1,G
Calosota,Grooca,L938,L938,1,G
Calosota,Heydenia,L768,L768,1,G
Calosota,Josephiella,L188,L782,1,G
Calosota,Melanosmicra,L399,L400,1,G
Calosota,Ormocerus,L359,L359,1,G
Calosota,Papuopsia,L397,L397,1,G
Calosota,Plutothrix,L500,L501,1,G
Calosota,Solenura,L111,L111,1,G
Calosota,Solenura,L627,L627,1,G
Anastatus,Calymmochilus,L607,L607,1,H
Calymmochilus,Merostenus,L420,L421,1,G
Calymmochilus,Zaischnopsis,L41,L42,1,G
Calymmochilus,Zaischnopsis,L359,L359,1,G
Calymmochilus,Zaischnopsis,L432,L432,1,G
Calymmochilus,Zaischnopsis,L765,L766,1,A
Cameronella,Colotrechnus,L709,L709,1,G
Cameronella,Colotrechnus,L419,L420,1,G
Cameronella,Colotrechnus,L658,L659,1,G
Cameronella,Colotrechnus,L964,L966,1,G
Cameronella,Colotrechnus,L295,L295,1,G
Cameronella,Colotrechnus,L631,L631,1,G
Cameronella,Colotrechnus,L69,L69,1,G
Cameronella,Colotrechnus,L939,L939,1,G
Cameronella,Colotrechnus,L964,L964,1,G
Cameronella,Colotrechnus,L571,L572,1,A
Cameronella,Colotrechnus,L628,L629,1,G
Cameronella,Colotrechnus,L1007,L1007,1,G
Cameronella,Colotrechnus,L768,L768,1,B
Cameronella,Diplesiostigma,L1030,L440,1,G
Cameronella,Erotolepsia,L503,L504,1,H
Cameronella,Polistomorpha,L906,L906,2,C D
Cameronella,Polistomorpha,L906,L907,1,D
Cameronella,Pteromalus,L1021,L1022,1,G
Camptoptera,Chalcis,L638,L638,1,G
Camptoptera,Melanosmicra,L268,L338,1,G
Camptoptera,Micradelus,L518,L519,1,D
Camptoptera,Micradelus,L518,L518,1,D
Camptoptera,Rileya,L32,L34,1,D
Camptoptera,Rileya,L33,L34,1,D
Camptoptera,Rileya,L32,L32,1,D
Camptoptera,Rileya,L33,L33,1,D
Camptoptera,Rileya,L60,L60,1,G
Adontomerus,Cea,L443,L444,1,G
Adontomerus,Cea,L444,L444,1,G
Asaphes,Cea,L784,L785,1,G
Brachyelatus,Cea,L363,L363,1,G
Cea,Chalcedectus,L68,L68,1,H
Cea,Clytina,L1008,L321,1,G
Cea,Diconocara,L111,L111,1,G
Cea,Exopristoides,L542,L542,1,G
Cea,Idarnotorymus,L444,L445,1,G
Cea,Keirana,L502,L502,1,G
Cea,Microdontomerus,L1008,L1008,1,G
Cea,Myiocnema,L631,L631,2,C D
Cea,Myiocnema,L524,L524,1,H
Cea,Neotriadomerus,L221,L221,2,B G
Cea,Neotriadomerus,L436,L436,1,D
Cea,Neotriadomerus,L438,L438,1,D
Cea,Ogloblinisca,L938,L938,1,G
Cea,Ormocerus,L753,L753,1,G
Cea,Plutothrix,L477,L477,1,G
Cea,Spalangiopelta,L56,L57,1,H
Cea,Spalangiopelta,L430,L430,1,G
Cea,Spalangiopelta,L432,L432,1,G
Cea,Spalangiopelta,L627,L627,1,G
Cea,Spalangiopelta,L850,L850,1,G
Cea,Zeala,L1009,L1009,1,G
Ceballosia,Systasis,L277,L277,2,C D
Afroneodipara,Cecidellis,L3,L906,1,H
Amerostenus,Cecidellis,L709,L710,1,G
Anidarnes,Cecidellis,L424,L424,1,H
Australeunotus,Cecidellis,L938,L938,1,G
Callimomoides,Cecidellis,L955,L955,1,G
Callocleonymus,Cecidellis,L241,L242,1,G
Callocleonymus,Cecidellis,L443,L444,1,D
Calosota,Cecidellis,L392,L392,1,G
Cecidellis,Chrysomalla,L46,L46,1,G
Cecidellis,Cyrtogaster,L399,L400,1,G
Cecidellis,Ericydnus,L5,L816,1,H
Cecidellis,Ericydnus,L5,L904,1,H
Cecidellis,Erotolepsia,L367,L367,1,H
Cecidellis,Euryischomyia,L112,L112,1,G
Cecidellis,Exopristoides,L811,L812,1,G
Cecidellis,Hetreulophus,L502,L502,1,G
Cecidellis,Homoporus,L399,L400,1,G
Cecidellis,Metapelma,L709,L710,1,G
Cecidellis,Metapelma,L444,L444,1,D
Cecidellis,Metapelma,L709,L709,1,G
Cecidellis,Monodontomerus,L241,L243,1,G
Cecidellis,Monodontomerus,L241,L241,1,G
Cecidellis,Nodisoplata,L304,L304,1,G
Cecidellis,Notanisus,L502,L503,1,G
Cecidellis,Odopoia,L500,L500,1,G
Cecidellis,Ormocerus,L400,L400,1,G
Cecidellis,Ormocerus,L533,L533,1,H
Cecidellis,Philomides,L500,L501,2,G H
Cecidellis,Philomides,L501,L501,1,G
Cecidellis,Plutothrix,L244,L245,1,D
Cecidellis,Plutothrix,L500,L501,1,G
Cecidellis,Plutothrix,L245,L245,1,D
Cecidellis,Proshizonotus,L1036,L1037,1,H
Cecidellis,Proshizonotus,L1036,L1036,1,H
Cecidellis,Proshizonotus,L5,L5,1,G
Cecidellis,Pseudidarnes,L423,L424,1,H
Cecidellis,Rivasia,L111,L111,1,G
Cecidellis,Signiphora,L586,L906,1,H
Cecidellis,Solenura,L244,L245,1,D
Cecidellis,Solenura,L627,L627,1,G
Cecidellis,Systole,L362,L362,1,G
Cecidellis,Systole,L951,L951,1,G
Cecidellis,Zavoya,L48,L48,1,G
Cecidellis,Zolotarewskya,L503,L503,1,G
Centrodora,Eutrichosomella,L1008,L1008,2,C D
Centrodora,Eutrichosomella,L69,L69,1,A
Centrodora,Exopristoides,L852,L853,1,D
Centrodora,Exopristoides,L460,L460,1,D
Centrodora,Exopristoides,L852,L852,1,D
Centrodora,Lelaps,L112,L713,1,H
Centrodora,Mesopeltita,L1039,L1040,2,A G
Centrodora,Mesopeltita,L116,L117,1,D
Centrodora,Mesopeltita,L115,L116,1,D
Centrodora,Mesopeltita,L16,L17,1,D
Centrodora,Mesopeltita,L15,L16,1,D
Centrodora,Mesopeltita,L176,L177,2,C D
Centrodora,Mesopeltita,L301,L302,1,D
Centrodora,Mesopeltita,L368,L369,1,D
Centrodora,Mesopeltita,L367,L368,1,D
Centrodora,Mesopeltita,L462,L463,2,G H
Centrodora,Mesopeltita,L511,L512,1,D
Centrodora,Mesopeltita,L510,L512,1,G
Centrodora,Mesopeltita,L592,L593,2,C D
Centrodora,Mesopeltita,L608,L609,1,A
Centrodora,Mesopeltita,L658,L659,1,D
Centrodora,Mesopeltita,L787,L788,1,A
Centrodora,Mesopeltita,L819,L820,1,D
Centrodora,Mesopeltita,L820,L821,1,A
Centrodora,Mesopeltita,L969,L970,1,G
Centrodora,Mesopeltita,L1007,L1007,2,C D
Centrodora,Mesopeltita,L1040,L1040,1,D
Centrodora,Mesopeltita,L107,L107,1,D
Centrodora,Mesopeltita,L116,L116,1,D
Centrodora,Mesopeltita,L118,L118,2,C D
Centrodora,Mesopeltita,L176,L176,2,C D
Centrodora,Mesopeltita,L180,L180,2,C D
Centrodora,Mesopeltita,L302,L302,2,C D
Centrodora,Mesopeltita,L321,L321,2,C D
Centrodora,Mesopeltita,L368,L368,2,C D
Centrodora,Mesopeltita,L411,L411,2,C D
Centrodora,Mesopeltita,L463,L463,2,G H
Centrodora,Mesopeltita,L512,L512,2,C D
Centrodora,Mesopeltita,L527,L527,2,A G
Centrodora,Mesopeltita,L593,L593,2,C D
Centrodora,Mesopeltita,L608,L608,2,C D
Centrodora,Mesopeltita,L658,L658,2,C D
Centrodora,Mesopeltita,L659,L659,2,C D
Centrodora,Mesopeltita,L714,L714,1,H
Centrodora,Mesopeltita,L760,L760,2,C D
Centrodora,Mesopeltita,L787,L787,1,D
Centrodora,Mesopeltita,L820,L820,1,D
Centrodora,Mesopeltita,L954,L954,2,C D
Centrodora,Mesopeltita,L970,L970,1,B
Centrodora,Microdontomerus,L1008,L321,1,G
Centrodora,Microdontomerus,L1009,L321,1,G
Centrodora,Neodipara,L979,L980,1,H
Centrodora,Ormyrus,L112,L112,1,G
Centrodora,Ormyrus,L356,L357,1,G
Centrodora,Papuopsia,L356,L357,1,D
Centrodora,Papuopsia,L355,L357,1,G
Cephaleta,Elachertus,L281,L282,1,G
Cephaleta,Elachertus,L749,L750,1,A
Cephaleta,Elachertus,L992,L993,1,A
Cephaleta,Elachertus,L98,L99,1,G
Cephaleta,Elachertus,L331,L331,1,H
Cephaleta,Elachertus,L438,L438,2,C D
Cephaleta,Elachertus,L537,L537,2,C D
Cephaleta,Elachertus,L749,L749,1,D
Cephaleta,Elachertus,L992,L992,2,C D
Cephaleta,Elachertus,L99,L99,2,C D
Cephaleta,Elachertus,L282,L282,1,G
Cephaleta,Habritys,L46,L47,1,G
Cephaleta,Papuopsia,L2,L2,1,G
Cephaleta,Scutellista,L420,L421,1,G
Cephaleta,Scutellista,L653,L654,1,G
Cephaleta,Scutellista,L745,L746,1,G
Cephaleta,Scutellista,L805,L806,1,A
Cephaleta,Scutellista,L912,L913,1,G
Cephaleta,Scutellista,L150,L150,1,G
Cephaleta,Scutellista,L420,L420,1,G
Cephaleta,Scutellista,L430,L430,1,H
Cephaleta,Scutellista,L503,L503,1,H
Cephaleta,Scutellista,L548,L548,1,G
Cephaleta,Scutellista,L566,L566,1,H
Cephaleta,Scutellista,L653,L653,1,G
Cephaleta,Scutellista,L746,L746,1,G
Cephaleta,Scutellista,L768,L768,1,G
Cephaleta,Scutellista,L805,L805,1,G
Cephaleta,Scutellista,L871,L871,1,G
Cephaleta,Scutellista,L913,L913,2,B G
Cephaleta,Scutellista,L939,L939,1,G
Agamerion,Ceratogramma,L1035,L1035,1,G
Ceratogramma,Coruna,L359,L362,1,G
Ceratogramma,Encarsia,L381,L381,2,C D
Ceratogramma,Encarsia,L381,L382,1,A
Ceratogramma,Herbertia,L709,L710,1,G
Ceratogramma,Moranila,L362,L362,1,G
Ceratogramma,Neochalcis,L914,L914,1,A
Ceratogramma,Omphalodipara,L767,L767,1,H
Amerostenus,Cerocephala,L973,L974,1,D
Amerostenus,Cerocephala,L973,L973,1,D
Bootanelleus,Cerocephala,L399,L400,1,G
Cerocephala,Macromesus,L500,L501,1,G
Cerocephala,Megastigmus,L399,L400,1,G
Cerocephala,Neanastatus,L363,L363,2,C D
Cerocephala,Neocalosoter,L222,L223,1,H
Cerocephala,Neocalosoter,L226,L227,2,A G
Cerocephala,Neocalosoter,L368,L369,1,H
Cerocephala,Neocalosoter,L505,L506,2,A G
Cerocephala,Neocalosoter,L539,L540,1,G
Cerocephala,Neocalosoter,L1035,L1035,1,G
Cerocephala,Neocalosoter,L211,L211,1,G
Cerocephala,Neocalosoter,L223,L223,1,H
Cerocephala,Neocalosoter,L264,L264,1,G
Cerocephala,Neocalosoter,L304,L304,1,G
Cerocephala,Neocalosoter,L313,L313,1,G
Cerocephala,Neocalosoter,L326,L326,2,B G
Cerocephala,Neocalosoter,L338,L338,1,G
Cerocephala,Neocalosoter,L349,L349,1,G
Cerocephala,Neocalosoter,L359,L359,1,G
Cerocephala,Neocalosoter,L369,L369,1,H
Cerocephala,Neocalosoter,L421,L421,1,G
Cerocephala,Neocalosoter,L424,L424,1,G
Cerocephala,Neocalosoter,L431,L431,1,G
Cerocephala,Neocalosoter,L434,L434,1,G
Cerocephala,Neocalosoter,L436,L436,1,G
Cerocephala,Neocalosoter,L46,L46,1,G
Cerocephala,Neocalosoter,L492,L492,1,H
Cerocephala,Neocalosoter,L534,L534,1,G
Cerocephala,Neocalosoter,L595,L595,1,G
Cerocephala,Neocalosoter,L636,L636,1,H
Cerocephala,Neocalosoter,L746,L746,1,G
Cerocephala,Neocalosoter,L780,L780,2,B G
Cerocephala,Neocalosoter,L920,L920,1,G
Cerocephala,Neocalosoter,L924,L924,1,G
Cerocephala,Steffanolampus,L503,L504,1,G
Anastatus,Chalcedectus,L137,L139,1,G
Bortesia,Chalcedectus,L233,L234,1,G
Chalcedectus,Conura,L153,L899,1,G
Chalcedectus,Grooca,L925,L926,1,G
Chalcedectus,Idioporus,L795,L796,1,G
Chalcedectus,Keirana,L231,L231,1,G
Chalcedectus,Neorileya,L46,L47,1,G
Chalcedectus,Neorileya,L46,L46,1,G
Chalcedectus,Pleistodontes,L647,L899,1,G
Chalcedectus,Plutothrix,L241,L242,1,H
Chalcedectus,Rileya,L46,L47,2,A G
Chalcedectus,Systasis,L938,L939,1,G
Chalcis,Conura,L1014,L1015,1,A
Chalcis,Conura,L233,L234,1,G
Chalcis,Conura,L436,L437,1,G
Chalcis,Conura,L444,L445,1,G
Chalcis,Conura,L505,L506,1,G
Chalcis,Conura,L616,L617,2,A G
Chalcis,Conura,L623,L624,1,H
Chalcis,Conura,L741,L742,1,H
Chalcis,Conura,L770,L771,1,G
Chalcis,Conura,L267,L267,1,G
Chalcis,Conura,L269,L269,2,B G
Chalcis,Conura,L299,L299,1,G
Chalcis,Conura,L438,L438,1,G
Chalcis,Conura,L456,L456,2,C D
Chalcis,Conura,L568,L568,1,G
Chalcis,Conura,L616,L616,1,G
Chalcis,Conura,L617,L617,1,G
Chalcis,Conura,L623,L623,1,H
Chalcis,Conura,L624,L624,1,H
Chalcis,Conura,L741,L741,1,H
Chalcis,Conura,L152,L153,1,G
Chalcis,Conura,L22,L23,1,H
Chalcis,Conura,L235,L236,1,G
Chalcis,Conura,L315,L316,1,H
Chalcis,Conura,L558,L559,2,A H
Chalcis,Conura,L254,L254,2,G H
Chalcis,Conura,L463,L463,4,A B G H
Chalcis,Conura,L559,L559,1,G
Chalcis,Conura,L924,L924,1,G
Chalcis,Conura,L941,L941,1,H
Chalcis,Euderomphale,L405,L880,1,G
Chalcis,Melanosmicra,L539,L540,2,A G
Chalcis,Melanosmicra,L175,L175,1,H
Chalcis,Melanosmicra,L48,L48,1,G
Chalcis,Melanosmicra,L326,L328,1,H
Chalcis,Melanosmicra,L332,L333,1,A
Chalcis,Melanosmicra,L933,L934,1,H
Chalcis,Melanosmicra,L933,L935,1,H
Chalcis,Melanosmicra,L176,L176,1,H
Chalcis,Melanosmicra,L364,L364,1,H
Chalcis,Melanosmicra,L420,L420,1,H
Chalcis,Melanosmicra,L47,L47,1,G
Chalcis,Melanosmicra,L966,L966,1,H
Chalcis,Neapterolelaps,L390,L688,1,G
Chalcis,Notanisus,L20,L808,1,H
Chalcis,Notanisus,L440,L808,1,H
Chalcis,Ormyromorpha,L500,L501,1,G
Chalcis,Palachia,L454,L455,1,G
Chalcis,Palachia,L454,L454,1,B
Chalcis,Schizaspidia,L721,L721,1,A
Chalcis,Stypiura,L405,L904,1,B
Cheiloneurus,Euderomphale,L1028,L880,1,G
Cheiloneurus,Eusemion,L500,L500,1,G
Cheiloneurus,Mayridia,L29,L29,1,H
Cheiloneurus,Neanastatus,L372,L372,1,H
Cheiloneurus,Ooencyrtus,L447,L447,1,H
Cheiloneurus,Ooencyrtus,L501,L501,1,G
Cheiloneurus,Savzdargia,L404,L404,1,G
Cheiloneurus,Semiotellus,L926,L926,2,G H
Cheiloneurus,Semiotellus,L925,L926,1,G
Cheiloneurus,Yrka,L430,L430,1,G
Chiloe,Conura,L289,L855,1,H
Ablerus,Chromeurytoma,L304,L304,1,G
Bootanelleus,Chromeurytoma,L421,L421,1,B
Callocleonymus,Chromeurytoma,L483,L484,1,G
Chalcedectus,Chromeurytoma,L392,L392,1,H
Chromeurytoma,Coruna,L363,L363,1,G
Chromeurytoma,Coruna,L364,L364,1,H
Chromeurytoma,Erotolepsia,L397,L397,1,G
Chromeurytoma,Keirana,L480,L480,1,H
Chromeurytoma,Keirana,L920,L920,1,G
Chromeurytoma,Lelaps,L112,L713,1,G
Chromeurytoma,Mongolocampe,L483,L484,1,G
Chromeurytoma,Neapterolelaps,L399,L400,1,H
Chromeurytoma,Neapterolelaps,L534,L534,1,G
Chromeurytoma,Nepistenia,L768,L768,1,G
Chromeurytoma,Netomocera,L359,L359,1,G
Chromeurytoma,Ormocerus,L500,L501,1,G
Chromeurytoma,Ormocerus,L500,L500,1,G
Chromeurytoma,Perilampomyia,L111,L111,1,G
Chromeurytoma,Plutothrix,L112,L112,1,G
Chromeurytoma,Tanaostigmodes,L989,L990,1,G
Chrysocharis,Entedon,L359,L362,2,G H
Chrysocharis,Entedon,L439,L440,1,G
Chrysocharis,Entedon,L571,L572,1,G
Chrysocharis,Entedon,L664,L665,1,H
Chrysocharis,Entedon,L366,L366,1,G
Chrysocharis,Entedon,L367,L367,2,B G
Chrysocharis,Entedon,L440,L440,1,G
Chrysocharis,Entedon,L532,L532,2,B G
Chrysocharis,Entedon,L677,L677,2,B G
Chrysocharis,Entedon,L756,L756,1,H
Chrysocharis,Entedon,L890,L890,2,B G
Chrysocharis,Entedon,L137,L139,1,G
Chrysocharis,Neochrysocharis,L22,L23,1,G
Chrysocharis,Neochrysocharis,L338,L339,1,G
Chrysocharis,Neochrysocharis,L500,L501,1,G
Chrysocharis,Neochrysocharis,L1009,L1009,1,G
Chrysocharis,Neochrysocharis,L1022,L1022,1,G
Chrysocharis,Neochrysocharis,L262,L262,1,H
Chrysocharis,Neochrysocharis,L338,L338,1,G
Chrysocharis,Neochrysocharis,L502,L502,1,H
Chrysocharis,Neochrysocharis,L553,L553,1,G
Chrysocharis,Neochrysocharis,L920,L920,1,G
Chrysocharis,Neochrysocharis,L702,L703,1,G
Chrysocharis,Neochrysocharis,L855,L856,1,G
Chrysocharis,Neochrysocharis,L22,L22,1,G
Chrysocharis,Neochrysocharis,L339,L339,1,G
Chrysocharis,Neochrysocharis,L421,L421,1,G
Chrysocharis,Neochrysocharis,L572,L572,1,G
Chrysocharis,Neochrysocharis,L68,L68,1,G
Aditrochus,Chrysolampus,L47,L47,1,G
Agamerion,Chrysolampus,L695,L768,1,G
Bootanomyia,Chrysolampus,L304,L304,1,G
Chrysolampus,Chrysomalla,L480,L481,1,G
Chrysolampus,Chrysomalla,L503,L504,2,G H
Chrysolampus,Chrysomalla,L503,L503,2,G H
Chrysolampus,Chrysomalla,L627,L627,2,G H
Chrysolampus,Chrysomalla,L709,L709,1,B
Chrysolampus,Coelocyba,L500,L501,1,G
Chrysolampus,Coruna,L359,L362,1,H
Chrysolampus,Cratocentrus,L501,L501,1,G
Chrysolampus,Cynipencyrtus,L46,L46,1,G
Chrysolampus,Exopristoides,L503,L504,1,G
Chrysolampus,Grooca,L925,L926,1,G
Chrysolampus,Grooca,L359,L359,1,H
Chrysolampus,Idarnotorymus,L1006,L1006,1,G
Chrysolampus,Keirana,L926,L926,1,G
Chrysolampus,Neapterolelaps,L313,L313,1,G
Chrysolampus,Pseudidarnes,L359,L362,2,B H
Chrysolampus,Solenura,L627,L627,1,G
Chrysolampus,Zolotarewskya,L938,L938,1,G
Akapala,Chrysomalla,L501,L501,1,G
Australeunotus,Chrysomalla,L46,L46,1,G
Chrysomalla,Cyrtogaster,L503,L503,1,G
Chrysomalla,Endobia,L430,L430,1,H
Chrysomalla,Erotolepsia,L502,L502,1,G
Chrysomalla,Erotolepsia,L502,L503,1,G
Chrysomalla,Perilampus,L1021,L1022,1,G
Chrysomalla,Philomides,L338,L339,1,G
Chrysomalla,Philomides,L338,L338,1,G
Chrysomalla,Philomides,L339,L339,1,G
Chrysomalla,Tetramesa,L1035,L1035,1,G
Cirrospilus,Josephiella,L71,L899,1,G
Cirrospilus,Megastigmus,L658,L658,1,D
Cirrospilus,Megastigmus,L657,L658,1,G
Cirrospilus,Megastigmus,L658,L659,1,G
Cirrospilus,Moranila,L622,L623,1,D
Cirrospilus,Moranila,L621,L622,1,G
Cirrospilus,Moranila,L622,L622,1,D
Cirrospilus,Naumanniola,L184,L185,1,H
Cirrospilus,Naumanniola,L363,L363,1,B
Cirrospilus,Naumanniola,L79,L79,1,H
Cirrospilus,Naumanniola,L240,L240,1,G
Cirrospilus,Pleistodontes,L894,L903,1,H
Cirrospilus,Pleistodontes,L894,L922,1,H
Cirrospilus,Solenura,L866,L867,1,D
Cirrospilus,Solenura,L866,L866,1,D
Cirrospilus,Spalangiopelta,L16,L17,1,D
Cirrospilus,Spalangiopelta,L15,L17,1,G
Cirrospilus,Spalangiopelta,L17,L17,2,C D
Cirrospilus,Zagrammosoma,L364,L366,1,B
Cirrospilus,Zagrammosoma,L365,L366,1,G
Cirrospilus,Zagrammosoma,L365,L367,1,G
Cirrospilus,Zagrammosoma,L388,L389,2,A G
Cirrospilus,Zagrammosoma,L669,L671,1,H
Cirrospilus,Zagrammosoma,L709,L710,1,G
Cirrospilus,Zagrammosoma,L925,L926,1,G
Cirrospilus,Zagrammosoma,L960,L962,1,A
Cirrospilus,Zagrammosoma,L400,L400,1,G
Cirrospilus,Zagrammosoma,L453,L453,1,G
Cirrospilus,Zagrammosoma,L1021,L1021,1,G
Cirrospilus,Zagrammosoma,L368,L368,1,G
Cirrospilus,Zagrammosoma,L669,L669,1,H
Cirrospilus,Zagrammosoma,L926,L926,1,G
Cirrospilus,Zagrammosoma,L937,L937,1,H
Asaphes,Cleonymus,L810,L811,1,G
Bootanomyia,Cleonymus,L359,L362,1,A
Cleonymus,Euryischia,L501,L502,1,G
Cleonymus,Euryischomyia,L537,L539,1,A
Cleonymus,Grooca,L439,L440,1,G
Cleonymus,Metapelma,L356,L357,1,G
Cleonymus,Neapterolelaps,L623,L624,1,G
Cleonymus,Neapterolelaps,L624,L624,1,D
Cleonymus,Nepistenia,L768,L768,1,G
Cleonymus,Notanisus,L1032,L1033,1,G
Cleonymus,Notanisus,L14,L15,2,A G
Cleonymus,Notanisus,L452,L453,1,G
Cleonymus,Notanisus,L556,L557,1,G
Cleonymus,Notanisus,L896,L897,1,A
Cleonymus,Notanisus,L253,L253,2,B G
Cleonymus,Notanisus,L329,L329,1,H
Cleonymus,Notanisus,L330,L330,1,G
Cleonymus,Notanisus,L340,L340,1,G
Cleonymus,Notanisus,L452,L452,2,A G
Cleonymus,Notanisus,L496,L496,1,H
Cleonymus,Notanisus,L501,L501,1,H
Cleonymus,Notanisus,L554,L554,2,A G
Cleonymus,Notanisus,L557,L557,2,D G
Cleonymus,Notanisus,L621,L621,1,G
Cleonymus,Notanisus,L630,L630,1,G
Cleonymus,Notanisus,L66,L66,1,G
Cleonymus,Notanisus,L746,L746,1,G
Cleonymus,Notanisus,L924,L924,1,G
Cleonymus,Notanisus,L232,L233,1,G
Cleonymus,Notanisus,L243,L244,1,G
Cleonymus,Notanisus,L344,L345,1,A
Cleonymus,Notanisus,L744,L745,1,G
Cleonymus,Notanisus,L80,L81,1,A
Cleonymus,Notanisus,L349,L349,1,G
Cleonymus,Notanisus,L445,L445,1,G
Cleonymus,Notanisus,L456,L456,1,G
Cleonymus,Notanisus,L745,L745,1,G
Cleonymus,Notanisus,L80,L80,1,G
Cleonymus,Ormyromorpha,L500,L501,1,G
Cleonymus,Pteromalus,L399,L400,1,G
Cleonymus,Zolotarewskya,L451,L452,1,G
Cleonymus,Zolotarewskya,L489,L490,1,G
Cleonymus,Zolotarewskya,L242,L242,1,B
Cleonymus,Zolotarewskya,L362,L362,1,H
Cleonymus,Zolotarewskya,L244,L244,1,H
Cleonymus,Zolotarewskya,L725,L725,1,H
Cleonymus,Zolotarewskya,L784,L784,1,H
Cleruchus,Coccobius,L826,L826,1,D
Cleruchus,Encarsia,L24,L25,2,C D
Cleruchus,Encarsia,L25,L26,1,A
Cleruchus,Encarsia,L300,L301,1,A
Cleruchus,Encarsia,L634,L635,1,G
Cleruchus,Encarsia,L653,L654,1,D
Cleruchus,Encarsia,L25,L25,2,C D
Cleruchus,Encarsia,L300,L300,2,C D
Cleruchus,Encarsia,L635,L635,2,C D
Cleruchus,Encarsia,L653,L653,2,C D
Chrysocharis,Closterocerus,L747,L748,1,G
Chrysocharis,Closterocerus,L554,L554,1,G
Closterocerus,Encyrtocephalus,L770,L771,2,A H
Closterocerus,Encyrtocephalus,L770,L770,1,H
Closterocerus,Entedon,L747,L748,1,H
Closterocerus,Entedon,L419,L419,1,G
Closterocerus,Moranila,L19,L19,1,G
Closterocerus,Ophelimus,L1043,L1043,1,G
Closterocerus,Perthiola,L111,L111,1,G
Closterocerus,Savzdargia,L337,L337,1,G
Closterocerus,Walkerella,L502,L504,1,G
Closterocerus,Walkerella,L502,L502,1,G
Closterocerus,Zealaromma,L270,L270,1,D
Aprostocetus,Clytina,L1,L1,1,H
Australeunotus,Clytina,L938,L938,1,G
Bortesia,Clytina,L759,L760,1,G
Clytina,Colotrechnus,L948,L950,1,G
Clytina,Colotrechnus,L949,L950,1,G
Clytina,Colotrechnus,L950,L950,1,G
Clytina,Euperilampus,L188,L189,1,D
Clytina,Euperilampus,L280,L281,1,D
Clytina,Euperilampus,L279,L280,1,D
Clytina,Euperilampus,L505,L506,2,C D
Clytina,Euperilampus,L189,L189,1,D
Clytina,Euperilampus,L280,L280,1,D
Clytina,Euperilampus,L506,L506,1,D
Clytina,Halticoptera,L1021,L1021,1,G
Clytina,Homoporus,L430,L432,1,G
Clytina,Lelaps,L1018,L1019,1,D
Clytina,Lelaps,L1019,L1020,1,A
Clytina,Lelaps,L1019,L1019,2,C D
Clytina,Lelaps,L713,L713,2,G H
Clytina,Marlattiella,L420,L420,1,G
Clytina,Micradelus,L1036,L1037,1,A
Clytina,Micradelus,L307,L308,2,C D
Clytina,Micradelus,L79,L80,1,D
Clytina,Micradelus,L78,L79,1,G
Clytina,Micradelus,L969,L970,1,G
Clytina,Micradelus,L1036,L1036,1,H
Clytina,Micradelus,L297,L297,1,D
Clytina,Micradelus,L308,L308,2,C D
Clytina,Micradelus,L436,L436,1,D
Clytina,Micradelus,L79,L79,1,D
Clytina,Micradelus,L892,L892,2,C D
Clytina,Micradelus,L970,L970,1,D
Clytina,Monacon,L343,L344,1,H
Clytina,Neanastatus,L432,L432,1,G
Clytina,Plutothrix,L627,L627,1,H
Clytina,Pteromalus,L430,L432,1,G
Clytina,Systasis,L938,L939,1,G
Clytina,Systasis,L53,L53,1,D
Aiolomorphus,Coccobius,L503,L504,1,G
Coccobius,Encyrtocephalus,L404,L500,1,G
Coccobius,Enoggera,L872,L873,2,A G
Coccobius,Enoggera,L872,L872,2,C D
Coccobius,Enoggera,L81,L81,1,D
Coccobius,Heydenia,L399,L400,2,G H
Coccobius,Heydenia,L400,L400,1,G
Coccobius,Melanosmicra,L399,L400,2,G H
Cales,Coccophagoides,L41,L42,1,G
Calosota,Coccophagoides,L1043,L324,1,G
Calosota,Coccophagoides,L1043,L325,1,G
Coccophagoides,Elatoides,L112,L112,1,G
Coccophagoides,Enoggera,L500,L501,1,G
Coccophagoides,Epistenia,L854,L855,1,H
Coccophagoides,Omphalodipara,L125,L126,1,H
Coccophagoides,Pteroptrix,L362,L362,1,G
Coccophagoides,Pteroptrix,L525,L525,1,G
Coccophagoides,Pteroptrix,L857,L857,1,G
Coccophagoides,Pteroptrix,L926,L926,1,G
Coccophagoides,Pteroptrix,L951,L951,1,G
Coccophagoides,Pteroptrix,L620,L620,1,G
Coccophagoides,Pteroptrix,L710,L710,1,H
Coccophagoides,Steffanolampus,L449,L449,1,H
Blastophaga,Coccophagus,L98,L99,1,A
Blastophaga,Coccophagus,L98,L98,1,D
Bruchodape,Coccophagus,L1035,L1035,1,G
Coccophagus,Erixestus,L392,L392,1,H
Coccophagus,Lasiochalcidia,L655,L656,1,G
Coccophagus,Maudia,L304,L304,1,G
Coccophagus,Maudia,L439,L440,1,G
Coccophagus,Megastigmus,L503,L504,1,H
Coccophagus,Pleistodontes,L249,L250,1,D
Coccophagus,Pleistodontes,L317,L318,2,C D
Coccophagus,Pleistodontes,L1009,L1009,2,C D
