concentration_cutoff,score_2,score_3,score_4,score_5,score_6,score_7
0.005,0,1743,2815,605,404,419
0.01,0,1743,2808,605,404,419
0.05,0,1687,2778,593,389,414
0.1,0,1641,2747,569,339,377
0.2,0,1493,2655,549,293,359
0.3,0,1428,2594,543,281,333
0.4,0,1320,2552,533,240,309
0.5,0,1294,2519,512,208,307
0.7,0,1183,2437,500,192,284
1.0,0,999,2368,462,166,249
1.5,0,828,2276,453,146,246
2.0,0,734,2153,415,124,219
3.0,0,566,1914,120,95,201
5.0,0,199,1534,94,57,96
