Tetrapus,458277
Timioderus,457903
Tineobius,461185
Torymoides,456792
Torymus,461189
Trichilogaster,457005
Trisecodes,458320
Ufens,456852
Umairia,458330
Walkerella,456565
Waterstoniella,456691
Watshamia,458352
Yrka,458377
Zagrammosoma,456589
Zaischnopsis,456384
Zavoya,458382
Zdenekius,458385
Zeala,458386
Zealaromma,457784
Zolotarewskya,456895
nr Bofuria,""
