group,variable,value
00,01,22
00,03,21
00,04,101
00,05,22
00,06,35
00,07,33
00,08,6
00,09,1
00,10,18
00,11,111
01,00,80
01,01,7
01,03,6
01,04,22
01,07,47
01,09,18
02,00,3
02,01,13
02,07,2
02,08,31
02,09,22
02,10,7
03,02,18
03,03,13
03,06,28
03,07,34
03,08,6
03,09,27

